episode,seed,use_prev_action,mean_return,phase
216,0,1,146.796875,A
217,0,1,119.984375,A
218,0,1,205.078125,A
219,0,1,93.0625,A
220,0,1,91.6875,A
221,0,1,112.25,A
222,0,1,115.875,A
223,0,1,155.671875,A
224,0,1,131.65625,A
225,0,1,146.453125,A
226,0,1,121.421875,A
227,0,1,127.5,A
228,0,1,140.546875,A
229,0,1,112.046875,A
230,0,1,130.15625,A
231,0,1,104.8125,A
232,0,1,80.640625,A
233,0,1,88.375,A
234,0,1,73.609375,A
235,0,1,90.1875,A
236,0,1,145.21875,A
237,0,1,92.5625,A
238,0,1,134.765625,A
239,0,1,208.390625,A
240,0,1,238.875,A
241,0,1,289.03125,A
242,0,1,228.25,A
243,0,1,147.59375,A
244,0,1,266.875,A
245,0,1,331.171875,A
246,0,1,273.703125,A
247,0,1,171.40625,A
248,0,1,306.78125,A
249,0,1,161.28125,A
250,0,1,157.328125,A
251,0,1,245.578125,A
252,0,1,381.0,A
253,0,1,357.046875,A
254,0,1,382.15625,A
255,0,1,331.703125,A
256,0,1,389.90625,A
257,0,1,355.109375,A
258,0,1,378.5,A
259,0,1,341.703125,A
260,0,1,362.4375,A
261,0,1,211.59375,A
262,0,1,371.390625,A
263,0,1,362.015625,A
264,0,1,370.578125,A
265,0,1,361.421875,A
266,0,1,363.84375,A
267,0,1,223.171875,A
268,0,1,361.5,A
269,0,1,355.28125,A
270,0,1,360.953125,A
271,0,1,355.484375,A
272,0,1,205.296875,A
273,0,1,383.484375,A
274,0,1,373.515625,A
275,0,1,241.34375,A
276,0,1,345.578125,A
277,0,1,378.6875,A
278,0,1,324.96875,A
279,0,1,369.875,A
280,0,1,319.125,A
281,0,1,387.9375,A
282,0,1,346.75,A
283,0,1,380.734375,A
284,0,1,350.375,A
285,0,1,379.625,A
286,0,1,316.203125,A
287,0,1,168.921875,A
288,0,1,121.96875,A
289,0,1,94.09375,A
290,0,1,129.046875,A
291,0,1,167.6875,A
292,0,1,339.828125,A
293,0,1,287.296875,A
294,0,1,293.96875,A
295,0,1,384.875,A
296,0,1,369.3125,A
297,0,1,385.1875,A
298,0,1,382.59375,A
299,0,1,363.59375,A
300,0,1,356.6875,A
301,0,1,205.046875,A
302,0,1,390.40625,A
303,0,1,359.90625,A
304,0,1,383.859375,A
305,0,1,315.765625,A
306,0,1,349.40625,A
307,0,1,232.984375,A
308,0,1,260.625,A
309,0,1,336.796875,A
310,0,1,369.453125,A
311,0,1,351.9375,A
312,0,1,379.328125,A
313,0,1,310.21875,A
314,0,1,177.9375,A
315,0,1,142.109375,A
316,0,1,152.453125,A
317,0,1,248.84375,A
318,0,1,311.859375,A
319,0,1,382.90625,A
320,0,1,357.0,A
321,0,1,378.4375,A
322,0,1,267.96875,A
323,0,1,377.4375,A
324,0,1,276.203125,A
325,0,1,337.296875,A
326,0,1,192.5625,A
327,0,1,146.859375,A
328,0,1,204.5,A
329,0,1,358.671875,A
330,0,1,319.703125,A
331,0,1,370.40625,A
332,0,1,239.546875,A
333,0,1,377.0625,A
334,0,1,361.015625,A
335,0,1,389.8125,A
336,0,1,365.515625,A
337,0,1,347.3125,A
338,0,1,350.953125,A
339,0,1,332.296875,A
340,0,1,387.859375,A
341,0,1,357.234375,A
342,0,1,389.9375,A
343,0,1,383.484375,A
344,0,1,338.4375,A
345,0,1,324.21875,A
346,0,1,387.65625,A
347,0,1,357.390625,A
348,0,1,389.703125,A
349,0,1,298.78125,A
350,0,1,356.140625,A
351,0,1,286.140625,A
352,0,1,306.71875,A
353,0,1,236.5,A
354,0,1,290.3125,A
355,0,1,384.34375,A
356,0,1,384.09375,A
357,0,1,354.03125,A
358,0,1,400.0,A
359,0,1,340.71875,A
360,0,1,395.28125,A
361,0,1,349.0,A
362,0,1,389.140625,A
363,0,1,339.34375,A
364,0,1,350.265625,A
365,0,1,281.609375,A
366,0,1,233.671875,A
367,0,1,326.453125,A
368,0,1,295.609375,A
369,0,1,393.015625,A
370,0,1,393.953125,A
371,0,1,395.734375,A
372,0,1,362.140625,A
373,0,1,392.484375,A
374,0,1,374.859375,A
375,0,1,357.1875,A
376,0,1,389.640625,A
377,0,1,394.84375,A
378,0,1,386.75,A
379,0,1,305.890625,A
380,0,1,378.953125,A
381,0,1,350.609375,A
382,0,1,384.921875,A
383,0,1,376.46875,A
384,0,1,389.65625,A
385,0,1,389.5,A
386,0,1,388.328125,A
387,0,1,339.328125,A
388,0,1,389.5,A
389,0,1,320.84375,A
390,0,1,394.65625,A
391,0,1,360.34375,A
392,0,1,315.859375,A
393,0,1,286.328125,A
394,0,1,363.421875,A
395,0,1,290.609375,A
396,0,1,357.40625,A
397,0,1,370.859375,A
398,0,1,386.09375,A
399,0,1,400.0,A
400,0,1,352.953125,A
401,0,1,195.609375,A
402,0,1,342.375,A
403,0,1,370.53125,A
404,0,1,215.359375,A
405,0,1,372.1875,A
406,0,1,385.75,A
407,0,1,375.6875,A
408,0,1,373.65625,A
409,0,1,355.234375,A
410,0,1,266.25,A
411,0,1,391.984375,A
412,0,1,302.265625,A
413,0,1,168.21875,A
414,0,1,352.609375,A
415,0,1,312.0,A
416,0,1,388.90625,A
417,0,1,384.140625,A
418,0,1,380.828125,A
419,0,1,372.28125,A
420,0,1,321.453125,A
421,0,1,384.34375,A
422,0,1,337.171875,A
423,0,1,374.8125,A
424,0,1,344.671875,A
425,0,1,389.984375,A
426,0,1,370.46875,A
427,0,1,389.78125,A
428,0,1,384.75,A
429,0,1,235.65625,A
430,0,1,370.359375,A
431,0,1,348.609375,A
432,0,1,234.3125,A
433,0,1,348.5,A
434,0,1,321.65625,A
435,0,1,359.84375,A
436,0,1,372.6875,A
437,0,1,400.0,A
438,0,1,239.453125,A
439,0,1,371.296875,A
440,0,1,400.0,A
441,0,1,379.0625,A
442,0,1,256.390625,A
443,0,1,371.796875,A
444,0,1,374.046875,A
445,0,1,377.265625,A
446,0,1,383.546875,A
447,0,1,385.6875,A
448,0,1,315.953125,A
449,0,1,212.359375,A
450,0,1,350.671875,A
451,0,1,389.640625,A
452,0,1,380.421875,A
453,0,1,245.453125,A
454,0,1,372.65625,A
455,0,1,385.8125,A
456,0,1,380.90625,A
457,0,1,228.484375,A
458,0,1,377.9375,A
459,0,1,297.484375,A
460,0,1,391.75,A
461,0,1,392.3125,A
462,0,1,395.703125,A
463,0,1,335.1875,A
464,0,1,272.734375,A
465,0,1,320.328125,A
466,0,1,384.6875,A
467,0,1,322.53125,A
468,0,1,392.0625,A
469,0,1,298.8125,A
470,0,1,374.8125,A
471,0,1,395.828125,A
472,0,1,382.890625,A
473,0,1,395.046875,A
474,0,1,391.1875,A
475,0,1,390.71875,A
476,0,1,305.59375,A
477,0,1,388.90625,A
478,0,1,394.4375,A
479,0,1,371.9375,A
480,0,1,400.0,A
481,0,1,377.0625,A
482,0,1,383.46875,A
483,0,1,381.65625,A
484,0,1,308.609375,A
485,0,1,393.203125,A
486,0,1,400.0,A
487,0,1,389.578125,A
488,0,1,384.8125,A
489,0,1,347.046875,A
490,0,1,376.140625,A
491,0,1,345.890625,A
492,0,1,400.0,A
493,0,1,329.140625,A
494,0,1,392.59375,A
495,0,1,299.578125,A
496,0,1,379.90625,A
497,0,1,391.03125,A
498,0,1,389.390625,A
499,0,1,319.21875,A
500,0,1,395.078125,A
501,0,1,381.140625,A
502,0,1,395.125,A
503,0,1,387.0625,A
504,0,1,394.5625,A
505,0,1,395.75,A
506,0,1,386.65625,A
507,0,1,389.984375,A
508,0,1,387.78125,A
509,0,1,373.859375,A
510,0,1,373.5625,A
511,0,1,374.6875,A
512,0,1,383.90625,A
513,0,1,387.921875,A
514,0,1,294.515625,A
515,0,1,350.359375,A
516,0,1,390.140625,A
517,0,1,377.0625,A
518,0,1,400.0,A
519,0,1,364.828125,A
520,0,1,387.390625,A
521,0,1,306.796875,A
522,0,1,372.0,A
523,0,1,240.21875,A
524,0,1,373.359375,A
525,0,1,229.53125,A
526,0,1,392.828125,A
527,0,1,308.84375,A
528,0,1,243.875,A
529,0,1,384.0,A
530,0,1,213.296875,A
531,0,1,303.90625,A
532,0,1,374.484375,A
533,0,1,389.21875,A
534,0,1,384.0625,A
535,0,1,400.0,A
536,0,1,398.46875,A
537,0,1,384.203125,A
538,0,1,389.40625,A
539,0,1,394.5,A
540,0,1,400.0,A
541,0,1,373.5,A
542,0,1,384.96875,A
543,0,1,384.078125,A
544,0,1,380.59375,A
545,0,1,315.390625,A
546,0,1,394.375,A
547,0,1,333.546875,A
548,0,1,383.578125,A
549,0,1,308.953125,A
550,0,1,394.703125,A
551,0,1,277.28125,A
552,0,1,160.984375,A
553,0,1,297.625,A
554,0,1,400.0,A
555,0,1,334.328125,A
556,0,1,389.203125,A
557,0,1,395.84375,A
558,0,1,383.984375,A
559,0,1,357.25,A
560,0,1,312.359375,A
561,0,1,389.265625,A
562,0,1,261.96875,A
563,0,1,373.859375,A
564,0,1,304.8125,A
565,0,1,386.015625,A
566,0,1,269.140625,A
567,0,1,159.828125,A
568,0,1,296.359375,A
569,0,1,394.75,A
570,0,1,339.390625,A
571,0,1,389.765625,A
572,0,1,386.4375,A
573,0,1,385.1875,A
574,0,1,379.625,A
575,0,1,268.453125,A
576,0,1,197.25,A
577,0,1,135.6875,A
578,0,1,212.0625,A
579,0,1,145.015625,A
580,0,1,125.234375,A
581,0,1,129.796875,A
582,0,1,214.125,A
583,0,1,143.609375,A
584,0,1,286.390625,A
585,0,1,381.4375,A
586,0,1,247.0625,A
587,0,1,302.96875,A
588,0,1,194.078125,A
589,0,1,353.53125,A
590,0,1,394.21875,A
591,0,1,332.140625,A
592,0,1,343.65625,A
593,0,1,394.71875,A
594,0,1,365.828125,A
595,0,1,370.84375,A
596,0,1,388.484375,A
597,0,1,368.890625,A
598,0,1,395.265625,A
599,0,1,390.203125,A
600,0,1,382.984375,A
601,0,1,103.46875,B
602,0,1,96.90625,B
603,0,1,130.015625,B
604,0,1,148.703125,B
605,0,1,118.046875,B
606,0,1,132.59375,B
607,0,1,135.578125,B
608,0,1,124.4375,B
609,0,1,79.515625,B
610,0,1,142.265625,B
611,0,1,141.078125,B
612,0,1,120.03125,B
613,0,1,119.109375,B
614,0,1,146.078125,B
615,0,1,155.984375,B
616,0,1,122.125,B
617,0,1,143.578125,B
618,0,1,130.6875,B
619,0,1,145.71875,B
620,0,1,136.609375,B
621,0,1,145.5,B
622,0,1,154.3125,B
623,0,1,161.1875,B
624,0,1,93.578125,B
625,0,1,149.96875,B
626,0,1,178.1875,B
627,0,1,173.984375,B
628,0,1,157.90625,B
629,0,1,143.84375,B
630,0,1,114.984375,B
631,0,1,152.1875,B
632,0,1,113.640625,B
633,0,1,88.609375,B
634,0,1,161.1875,B
635,0,1,111.828125,B
636,0,1,87.890625,B
637,0,1,79.90625,B
638,0,1,82.734375,B
639,0,1,102.84375,B
640,0,1,98.78125,B
641,0,1,103.484375,B
642,0,1,86.109375,B
643,0,1,88.65625,B
644,0,1,84.125,B
645,0,1,98.328125,B
646,0,1,124.203125,B
647,0,1,152.9375,B
648,0,1,119.53125,B
649,0,1,117.65625,B
650,0,1,142.078125,B
651,0,1,129.078125,B
652,0,1,124.65625,B
653,0,1,150.59375,B
654,0,1,154.390625,B
655,0,1,74.765625,B
656,0,1,115.1875,B
657,0,1,153.3125,B
658,0,1,136.75,B
659,0,1,137.171875,B
660,0,1,127.4375,B
661,0,1,148.34375,B
662,0,1,143.109375,B
663,0,1,133.875,B
664,0,1,137.203125,B
665,0,1,113.84375,B
666,0,1,91.671875,B
667,0,1,104.71875,B
668,0,1,97.671875,B
669,0,1,108.890625,B
670,0,1,118.828125,B
671,0,1,117.984375,B
672,0,1,97.5,B
673,0,1,86.078125,B
674,0,1,86.015625,B
675,0,1,80.21875,B
676,0,1,129.0,B
677,0,1,162.921875,B
678,0,1,105.3125,B
679,0,1,85.03125,B
680,0,1,78.875,B
681,0,1,85.046875,B
682,0,1,114.3125,B
683,0,1,171.0,B
684,0,1,213.96875,B
685,0,1,143.859375,B
686,0,1,150.90625,B
687,0,1,167.234375,B
688,0,1,138.421875,B
689,0,1,143.015625,B
690,0,1,145.15625,B
691,0,1,131.609375,B
692,0,1,135.328125,B
693,0,1,143.375,B
694,0,1,125.84375,B
695,0,1,86.125,B
696,0,1,71.8125,B
697,0,1,95.03125,B
698,0,1,77.984375,B
699,0,1,75.484375,B
700,0,1,81.8125,B
701,0,1,78.25,B
702,0,1,88.09375,B
703,0,1,83.4375,B
704,0,1,89.53125,B
705,0,1,123.28125,B
706,0,1,105.515625,B
707,0,1,85.96875,B
708,0,1,70.5,B
709,0,1,68.984375,B
710,0,1,70.703125,B
711,0,1,59.796875,B
712,0,1,67.484375,B
713,0,1,66.453125,B
714,0,1,62.109375,B
715,0,1,79.890625,B
716,0,1,81.3125,B
717,0,1,110.9375,B
718,0,1,144.1875,B
719,0,1,126.125,B
720,0,1,134.921875,B
721,0,1,134.140625,B
722,0,1,111.625,B
723,0,1,126.5625,B
724,0,1,135.421875,B
725,0,1,130.59375,B
726,0,1,129.765625,B
727,0,1,120.59375,B
728,0,1,136.84375,B
729,0,1,147.5,B
730,0,1,146.765625,B
731,0,1,96.8125,B
732,0,1,152.421875,B
733,0,1,140.203125,B
734,0,1,103.140625,B
735,0,1,127.234375,B
736,0,1,144.640625,B
737,0,1,133.25,B
738,0,1,176.015625,B
739,0,1,120.390625,B
740,0,1,94.3125,B
741,0,1,97.921875,B
742,0,1,91.171875,B
743,0,1,95.359375,B
744,0,1,169.046875,B
745,0,1,180.609375,B
746,0,1,136.71875,B
747,0,1,195.9375,B
748,0,1,179.28125,B
749,0,1,140.5625,B
750,0,1,174.375,B
751,0,1,165.671875,B
752,0,1,158.953125,B
753,0,1,159.0,B
754,0,1,171.6875,B
755,0,1,188.578125,B
756,0,1,111.6875,B
757,0,1,197.453125,B
758,0,1,130.671875,B
759,0,1,118.046875,B
760,0,1,118.078125,B
761,0,1,184.453125,B
762,0,1,173.515625,B
763,0,1,191.46875,B
764,0,1,193.1875,B
765,0,1,152.484375,B
766,0,1,180.546875,B
767,0,1,137.375,B
768,0,1,170.96875,B
769,0,1,186.109375,B
770,0,1,109.484375,B
771,0,1,146.453125,B
772,0,1,175.828125,B
773,0,1,150.046875,B
774,0,1,142.859375,B
775,0,1,146.328125,B
776,0,1,169.765625,B
777,0,1,150.40625,B
778,0,1,157.4375,B
779,0,1,139.25,B
780,0,1,128.953125,B
781,0,1,97.765625,B
782,0,1,92.0,B
783,0,1,103.765625,B
784,0,1,95.171875,B
785,0,1,75.59375,B
786,0,1,77.28125,B
787,0,1,94.109375,B
788,0,1,77.5,B
789,0,1,96.6875,B
790,0,1,101.046875,B
791,0,1,91.078125,B
792,0,1,97.8125,B
793,0,1,115.59375,B
794,0,1,90.296875,B
795,0,1,107.5,B
796,0,1,147.5,B
797,0,1,186.9375,B
798,0,1,119.9375,B
799,0,1,144.65625,B
800,0,1,129.609375,B
801,0,1,186.734375,B
802,0,1,190.875,B
803,0,1,158.890625,B
804,0,1,106.875,B
805,0,1,156.21875,B
806,0,1,138.078125,B
807,0,1,202.125,B
808,0,1,144.734375,B
809,0,1,85.4375,B
810,0,1,123.953125,B
811,0,1,153.15625,B
812,0,1,153.234375,B
813,0,1,171.78125,B
814,0,1,138.640625,B
815,0,1,121.84375,B
816,0,1,126.71875,B
817,0,1,161.734375,B
818,0,1,166.765625,B
819,0,1,173.703125,B
820,0,1,199.265625,B
821,0,1,165.828125,B
822,0,1,137.421875,B
823,0,1,189.796875,B
824,0,1,172.4375,B
825,0,1,114.296875,B
826,0,1,144.15625,B
827,0,1,156.203125,B
828,0,1,181.96875,B
829,0,1,131.125,B
830,0,1,134.28125,B
831,0,1,139.53125,B
832,0,1,108.609375,B
833,0,1,102.34375,B
834,0,1,132.640625,B
835,0,1,165.671875,B
836,0,1,166.296875,B
837,0,1,152.8125,B
838,0,1,119.421875,B
839,0,1,114.25,B
840,0,1,112.53125,B
841,0,1,160.0,B
842,0,1,178.90625,B
843,0,1,157.640625,B
844,0,1,202.5,B
845,0,1,137.265625,B
846,0,1,193.5625,B
847,0,1,142.28125,B
848,0,1,100.796875,B
849,0,1,146.03125,B
850,0,1,185.109375,B
851,0,1,174.359375,B
852,0,1,176.421875,B
853,0,1,199.140625,B
854,0,1,187.671875,B
855,0,1,107.78125,B
856,0,1,182.15625,B
857,0,1,166.5,B
858,0,1,210.859375,B
859,0,1,150.171875,B
860,0,1,196.96875,B
861,0,1,149.53125,B
862,0,1,133.0,B
863,0,1,176.71875,B
864,0,1,195.921875,B
865,0,1,142.5625,B
866,0,1,112.96875,B
867,0,1,112.671875,B
868,0,1,114.78125,B
869,0,1,168.09375,B
870,0,1,152.390625,B
871,0,1,104.734375,B
872,0,1,123.0,B
873,0,1,143.65625,B
874,0,1,154.9375,B
875,0,1,135.75,B
876,0,1,186.640625,B
877,0,1,166.640625,B
878,0,1,131.5,B
879,0,1,106.1875,B
880,0,1,86.625,B
881,0,1,92.96875,B
882,0,1,111.390625,B
883,0,1,104.640625,B
884,0,1,136.09375,B
885,0,1,163.0,B
886,0,1,151.921875,B
887,0,1,157.125,B
888,0,1,193.328125,B
889,0,1,151.421875,B
890,0,1,177.015625,B
891,0,1,181.171875,B
892,0,1,214.703125,B
893,0,1,172.0625,B
894,0,1,238.265625,B
895,0,1,106.765625,B
896,0,1,134.15625,B
897,0,1,166.1875,B
898,0,1,188.3125,B
899,0,1,166.25,B
900,0,1,123.0625,B
901,0,1,163.265625,B
902,0,1,194.65625,B
903,0,1,192.984375,B
904,0,1,120.875,B
905,0,1,119.953125,B
906,0,1,206.8125,B
907,0,1,201.171875,B
908,0,1,225.609375,B
909,0,1,166.546875,B
910,0,1,189.484375,B
911,0,1,212.25,B
912,0,1,164.640625,B
913,0,1,196.53125,B
914,0,1,159.953125,B
915,0,1,188.171875,B
916,0,1,195.65625,B
917,0,1,173.9375,B
918,0,1,206.53125,B
919,0,1,138.65625,B
920,0,1,130.0625,B
921,0,1,134.234375,B
922,0,1,151.5625,B
923,0,1,168.734375,B
924,0,1,164.328125,B
925,0,1,177.296875,B
926,0,1,220.65625,B
927,0,1,180.1875,B
928,0,1,171.484375,B
929,0,1,99.703125,B
930,0,1,162.125,B
931,0,1,187.84375,B
932,0,1,167.890625,B
933,0,1,141.3125,B
934,0,1,173.296875,B
935,0,1,122.9375,B
936,0,1,202.984375,B
937,0,1,204.09375,B
938,0,1,177.078125,B
939,0,1,206.234375,B
940,0,1,188.015625,B
941,0,1,188.171875,B
942,0,1,196.21875,B
943,0,1,191.875,B
944,0,1,131.46875,B
945,0,1,177.9375,B
946,0,1,116.609375,B
947,0,1,164.921875,B
948,0,1,212.671875,B
949,0,1,190.1875,B
950,0,1,202.125,B
951,0,1,166.3125,B
952,0,1,109.1875,B
953,0,1,176.3125,B
954,0,1,167.5,B
955,0,1,180.578125,B
956,0,1,178.25,B
957,0,1,148.984375,B
958,0,1,116.671875,B
959,0,1,194.703125,B
960,0,1,151.953125,B
961,0,1,217.734375,B
962,0,1,168.5,B
963,0,1,164.890625,B
964,0,1,162.53125,B
