BlockName,BlockTrial,ControlPoint,FieldConstants_1,FieldConstants_2,FieldType,MissTrial,RestFlag,TrialNumber,TargetPosition_1,TargetPosition_2,MovementReactionTime,MovementDurationTime,Adaptation
Null8,1,-1,0,0,0,0,0,1,7.34788079488412e-16,2,0.533523829653859,1.0002269865945,NaN
Null8,2,1,0,0,0,0,0,2,7.34788079488412e-16,2,0.392757633700967,1.12659865990281,NaN
Null8,3,1,0,0,0,0,0,3,7.34788079488412e-16,2,0.315350988414139,1.07127775764093,NaN
Null8,4,-1,0,0,0,0,0,4,7.34788079488412e-16,2,0.255725626368076,0.820878641214222,NaN
Null8,5,1,0,0,0,0,0,5,7.34788079488412e-16,2,0.32158959005028,0.953302889596671,NaN
Null8,6,1,0,0,0,0,0,6,7.34788079488412e-16,2,0.39187577413395,0.861150147859007,NaN
Null8,7,-1,0,0,0,0,0,7,7.34788079488412e-16,2,0.305765854660422,1.08210436999798,NaN
Null8,8,-1,0,0,0,0,0,8,7.34788079488412e-16,2,0.289148518815637,0.932641482912004,NaN
Triplet3,1,-1,-30,-1.4,2,0,0,9,7.34788079488412e-16,2,0.291534684132785,0.997282741125673,0.0792030300800636
Triplet3,2,-1,-0.15,0,1,0,0,10,7.34788079488412e-16,2,0.313289334066212,2.02025619521737,NaN
Triplet3,3,-1,-30,-1.4,2,0,0,11,7.34788079488412e-16,2,0.425213089678437,0.852059460245073,0.029041092139786
Null12,1,1,0,0,0,0,0,12,7.34788079488412e-16,2,0.324671344365925,0.920939106028527,NaN
Null12,2,1,0,0,0,0,0,13,7.34788079488412e-16,2,0.317874418571591,0.943531241733581,NaN
Null12,3,1,0,0,0,0,0,14,7.34788079488412e-16,2,0.399864441715181,0.961672144010663,NaN
Null12,4,-1,0,0,0,0,0,15,7.34788079488412e-16,2,0.292883195914328,1.08469533547759,NaN
Null12,5,-1,0,0,0,0,0,16,7.34788079488412e-16,2,0.31653200276196,0.80582900159061,NaN
Null12,6,-1,0,0,0,0,0,17,7.34788079488412e-16,2,0.364490096457303,0.973158992826939,NaN
Null12,7,-1,0,0,0,0,0,18,7.34788079488412e-16,2,0.315382440108806,1.00137459859252,NaN
Null12,8,-1,0,0,0,0,0,19,7.34788079488412e-16,2,0.337594232521951,0.948273827321827,NaN
Null12,9,1,0,0,0,0,0,20,7.34788079488412e-16,2,0.367687172722071,0.769356537610292,NaN
Null12,10,1,0,0,0,0,0,21,7.34788079488412e-16,2,0.292298784013838,0.825096792541444,NaN
Null12,11,1,0,0,0,0,0,22,7.34788079488412e-16,2,0.335911945905536,0.941716566216201,NaN
Null12,12,-1,0,0,0,0,0,23,7.34788079488412e-16,2,0.274905645754188,0.926924389787018,NaN
Triplet1,1,-1,-30,-1.4,2,0,0,24,7.34788079488412e-16,2,0.286503184586763,0.911037020385265,0.236928312249995
Triplet1,2,-1,0.15,0,1,0,0,25,7.34788079488412e-16,2,0.301761524751782,1.86856805719435,NaN
Triplet1,3,-1,-30,-1.4,2,0,0,26,7.34788079488412e-16,2,0.360276089981198,0.969709817320108,0.220347792652756
Null10,1,1,0,0,0,0,0,27,7.34788079488412e-16,2,0.317430441267788,0.96999531891197,NaN
Null10,2,1,0,0,0,0,0,28,7.34788079488412e-16,2,0.324572601355612,1.08145315432921,NaN
Null10,3,-1,0,0,0,0,0,29,7.34788079488412e-16,2,0.310415061656386,1.06269175605848,NaN
