BlockName,BlockTrial,FieldConstants_1,FieldConstants_2,FieldType,MissTrial,RestFlag,TrialNumber,TargetPosition_1,TargetPosition_2,MovementReactionTime,MovementDurationTime,Adaptation
Null,1,0,0,0,0,0,1,7.34788079488412e-16,2,0.796368500217795,1.03600267786533,NaN
Null,2,0,0,0,0,0,2,7.34788079488412e-16,2,0.66958271432668,1.11540815234184,NaN
Null,3,0,0,0,0,0,3,7.34788079488412e-16,2,0.481491658836603,0.969887769781053,NaN
Null,4,0,0,0,0,0,4,7.34788079488412e-16,2,0.507805817760527,0.973901367746294,NaN
Null,5,0,0,0,0,0,5,7.34788079488412e-16,2,0.46686989068985,0.987681260332465,NaN
Null,6,0,0,0,0,0,6,7.34788079488412e-16,2,0.425114517100155,0.958498189225793,NaN
Null,7,0,0,0,0,0,7,7.34788079488412e-16,2,0.393854917027056,0.870408450253308,NaN
Null,8,0,0,0,0,0,8,7.34788079488412e-16,2,0.350363130681217,0.549917641095817,NaN
Null,9,-30,-1.4,2,0,0,9,7.34788079488412e-16,2,0.393734718672931,0.725443221628666,0.0014561091693704
Null,10,0,0,0,0,0,10,7.34788079488412e-16,2,0.541308226063848,1.30191249307245,NaN
Null,1,0,0,0,0,0,11,7.34788079488412e-16,2,0.507473993115127,1.11508266627789,NaN
Null,2,0,0,0,0,0,12,7.34788079488412e-16,2,0.411915380507708,1.01128937397152,NaN
Null,3,0,0,0,0,0,13,7.34788079488412e-16,2,0.461220570839942,1.28105650655925,NaN
Null,4,-30,-1.4,2,0,0,14,7.34788079488412e-16,2,0.385183817707002,0.587719392031431,-0.0568132363218047
Null,5,0,0,0,0,0,15,7.34788079488412e-16,2,0.39236621465534,0.809189244173467,NaN
Null,6,0,0,0,0,0,16,7.34788079488412e-16,2,0.370530110783875,1.11615469865501,NaN
Null,7,0,0,0,0,0,17,7.34788079488412e-16,2,0.559535454027355,0.844694306142628,NaN
Null,8,0,0,0,0,0,18,7.34788079488412e-16,2,0.480454734526575,0.843531332910061,NaN
Null,9,0,0,0,0,0,19,7.34788079488412e-16,2,0.355223237536848,1.17753579374403,NaN
Null,10,0,0,0,0,0,20,7.34788079488412e-16,2,0.40117774810642,0.828983683139086,NaN
Null,1,0,0,0,0,0,21,7.34788079488412e-16,2,0.357077168300748,1.09645461384207,NaN
Null,2,0,0,0,0,0,22,7.34788079488412e-16,2,0.313093859702349,1.52232713624835,NaN
Null,3,0,0,0,0,0,23,7.34788079488412e-16,2,0.392613437026739,0.842606806196272,NaN
Null,4,0,0,0,0,0,24,7.34788079488412e-16,2,0.384380464442074,0.81542005110532,NaN
Null,5,0,0,0,0,0,25,7.34788079488412e-16,2,0.401027805171907,0.978272148407996,NaN
Null,6,0,0,0,0,0,26,7.34788079488412e-16,2,0.373328072950244,0.911056194454432,NaN
Null,7,-30,-1.4,2,0,0,27,7.34788079488412e-16,2,0.991522973403335,0.514755863696337,0.0815283965623095
Null,8,0,0,0,0,0,28,7.34788079488412e-16,2,0.328082806430757,0.670036200433969,NaN
Null,9,0,0,0,0,0,29,7.34788079488412e-16,2,0.375954150222242,1.30921850074083,NaN
Null,10,0,0,0,0,0,30,7.34788079488412e-16,2,0.7009098501876,1.52620249520987,NaN
Null,1,0,0,0,0,0,31,7.34788079488412e-16,2,0.412348142825067,1.4838517382741,NaN
Null,2,0,0,0,0,0,32,7.34788079488412e-16,2,0.326739413663745,1.4629638120532,NaN
Null,3,0,0,0,0,0,33,7.34788079488412e-16,2,0.787096165120602,1.66427814215422,NaN
Null,4,0,0,0,0,0,34,7.34788079488412e-16,2,0.448087262921035,0.908336251042783,NaN
Null,5,0,0,0,0,0,35,7.34788079488412e-16,2,0.354212889447808,1.32502835523337,NaN
Null,6,0,0,0,0,0,36,7.34788079488412e-16,2,0.351015322841704,1.06157906819135,NaN
Null,7,0,0,0,0,0,37,7.34788079488412e-16,2,0.66859065182507,0.958082493394613,NaN
Null,8,0,0,0,0,0,38,7.34788079488412e-16,2,0.290478540584445,1.04401939176023,NaN
Null,9,0,0,0,0,0,39,7.34788079488412e-16,2,0.284109006635845,1.27302808966488,NaN
Null,10,-30,-1.4,2,0,0,40,7.34788079488412e-16,2,0.388825850561261,0.91244322899729,0.0148022358697499
Null,1,0,0,0,0,0,41,7.34788079488412e-16,2,0.323098842985928,0.760705204680562,NaN
Null,2,0,0,0,0,0,42,7.34788079488412e-16,2,0.354247997514904,0.790181091986597,NaN
Null,3,0,0,0,0,0,43,7.34788079488412e-16,2,0.396991044282913,1.14239742234349,NaN
Null,4,0,0,0,0,0,44,7.34788079488412e-16,2,0.326687969267368,0.955487137660384,NaN
Null,5,-30,-1.4,2,0,0,45,7.34788079488412e-16,2,0.310433893464506,0.765124747529626,0.0538248203864558
Null,6,0,0,0,0,0,46,7.34788079488412e-16,2,0.292428044602275,0.728745870292187,NaN
Null,7,0,0,0,0,0,47,7.34788079488412e-16,2,0.324950823560357,0.868610108271241,NaN
Null,8,0,0,0,0,0,48,7.34788079488412e-16,2,0.259803839959204,0.778105431236327,NaN
Null,9,0,0,0,0,0,49,7.34788079488412e-16,2,0.332126636989415,0.865655375644565,NaN
Null,10,0,0,0,0,0,50,7.34788079488412e-16,2,0.339404606260359,0.609913895837963,NaN
FieldA,1,0.15,0,1,0,0,51,7.34788079488412e-16,2,0.359615717083216,2.81254309415817,NaN
FieldA,2,0.15,0,1,0,0,52,7.34788079488412e-16,2,0.434157183393836,2.13541543763131,NaN
FieldA,3,0.15,0,1,0,0,53,7.34788079488412e-16,2,0.416814740747213,1.65175996627659,NaN
FieldA,4,-30,-1.4,2,0,0,54,7.34788079488412e-16,2,0.956964381039143,1.17185770533979,0.12386120167204
FieldA,5,0.15,0,1,0,0,55,7.34788079488412e-16,2,0.367706548422575,2.35736510716379,NaN
FieldA,6,0.15,0,1,0,0,56,7.34788079488412e-16,2,0.343514997512102,2.04639824572951,NaN
FieldA,7,0.15,0,1,0,0,57,7.34788079488412e-16,2,0.398884228430688,1.84495518263429,NaN
FieldA,8,0.15,0,1,0,0,58,7.34788079488412e-16,2,0.371231796219945,1.43541524279863,NaN
FieldA,9,0.15,0,1,0,0,59,7.34788079488412e-16,2,0.353873750194907,1.61728646419942,NaN
FieldA,10,0.15,0,1,0,0,60,7.34788079488412e-16,2,0.305079340934753,1.19550604745746,NaN
FieldA,1,0.15,0,1,0,0,61,7.34788079488412e-16,2,0.335414657369256,1.63712576311082,NaN
FieldA,2,0.15,0,1,0,0,62,7.34788079488412e-16,2,0.357984628528357,1.55809941329062,NaN
FieldA,3,0.15,0,1,0,0,63,7.34788079488412e-16,2,0.309048322029412,1.19947575964034,NaN
FieldA,4,0.15,0,1,0,0,64,7.34788079488412e-16,2,0.00110714044421911,1.58290390297771,NaN
FieldA,5,0.15,0,1,0,0,65,7.34788079488412e-16,2,0.410389618016779,1.31673004105687,NaN
FieldA,6,0.15,0,1,0,0,66,7.34788079488412e-16,2,0.315318381413817,1.2054881118238,NaN
FieldA,7,-30,-1.4,2,0,0,67,7.34788079488412e-16,2,0.311378656886518,0.988789863884449,0.530384700039141
FieldA,8,0.15,0,1,0,0,68,7.34788079488412e-16,2,0.318271406926215,1.47512431908399,NaN
FieldA,9,0.15,0,1,0,0,69,7.34788079488412e-16,2,0.390108779072762,1.1030864873901,NaN
FieldA,10,0.15,0,1,0,0,70,7.34788079488412e-16,2,0.297697020694613,1.21925142593682,NaN
FieldA,1,0.15,0,1,0,0,71,7.34788079488412e-16,2,0.307968243956566,1.14741088543087,NaN
FieldA,2,0.15,0,1,0,0,72,7.34788079488412e-16,2,0.290447576902807,1.28519688546658,NaN
