BlockName,BlockTrial,FieldConstants_1,FieldConstants_2,FieldType,MissTrial,RestFlag,TrialNumber,TargetPosition_1,TargetPosition_2,MovementReactionTime,MovementDurationTime,Adaptation
Null,1,0,0,0,0,0,1,7.34788079488412e-16,2,0.340972548350692,1.12656367570162,NaN
Null,2,0,0,0,0,0,2,7.34788079488412e-16,2,0.332128100097179,0.766562739387155,NaN
Null,3,0,0,0,0,0,3,7.34788079488412e-16,2,0.342631918378174,0.924470128491521,NaN
Null,4,0,0,0,0,0,4,7.34788079488412e-16,2,0.312413387000561,0.849722885526717,NaN
Null,5,0,0,0,0,0,5,7.34788079488412e-16,2,0.296904638409615,1.08655203040689,NaN
Null,6,0,0,0,0,0,6,7.34788079488412e-16,2,0.348891006782651,1.00380953028798,NaN
Null,7,0,0,0,0,0,7,7.34788079488412e-16,2,0.269461151212454,0.961688686162233,NaN
Null,8,0,0,0,0,0,8,7.34788079488412e-16,2,0.380276656709611,0.895923401229084,NaN
Null,9,0,0,0,0,0,9,7.34788079488412e-16,2,0.394943040795624,0.887313741259277,NaN
Null,10,-30,-1.4,2,0,0,10,7.34788079488412e-16,2,0.309442318975925,0.794477510266006,-0.00430658333821005
Null,1,0,0,0,0,0,11,7.34788079488412e-16,2,0.372664666734636,1.09228375740349,NaN
Null,2,0,0,0,0,0,12,7.34788079488412e-16,2,0.331036563031375,1.26337077934295,NaN
Null,3,0,0,0,0,0,13,7.34788079488412e-16,2,0.338507629930973,1.14223626349121,NaN
Null,4,0,0,0,0,0,14,7.34788079488412e-16,2,0.343666160479188,0.759979871101677,NaN
Null,5,0,0,0,0,0,15,7.34788079488412e-16,2,0.308279833756387,0.936576508916914,NaN
Null,6,-30,-1.4,2,0,0,16,7.34788079488412e-16,2,0.304312070831656,0.489368912763894,-0.0535550652648288
Null,7,0,0,0,0,0,17,7.34788079488412e-16,2,0.380909342318773,1.26793660689145,NaN
Null,8,0,0,0,0,0,18,7.34788079488412e-16,2,0.337172526866198,1.02323922980577,NaN
Null,9,0,0,0,0,0,19,7.34788079488412e-16,2,0.343286303803325,0.931507701054215,NaN
Null,10,0,0,0,0,0,20,7.34788079488412e-16,2,0.356580526567996,0.884712778031826,NaN
Null,1,0,0,0,0,0,21,7.34788079488412e-16,2,0.298668115399778,0.762035432271659,NaN
Null,2,0,0,0,0,0,22,7.34788079488412e-16,2,0.302672448568046,0.663055435754359,NaN
Null,3,0,0,0,0,0,23,7.34788079488412e-16,2,0.291283112950623,0.801795952953398,NaN
Null,4,0,0,0,0,0,24,7.34788079488412e-16,2,0.274595787748694,1.09642340615392,NaN
Null,5,0,0,0,0,0,25,7.34788079488412e-16,2,0.292674536816776,0.860226216726005,NaN
Null,6,0,0,0,0,0,26,7.34788079488412e-16,2,0.345951390452683,0.966727749444544,NaN
Null,7,0,0,0,0,0,27,7.34788079488412e-16,2,0.291228012181818,1.03463319782168,NaN
Null,8,0,0,0,0,0,28,7.34788079488412e-16,2,0.275067316368222,0.632664042524993,NaN
Null,9,0,0,0,0,0,29,7.34788079488412e-16,2,0.304673884995282,0.732204558327794,NaN
Null,10,-30,-1.4,2,0,0,30,7.34788079488412e-16,2,0.304889900609851,0.502201359719038,0.0455060695674097
Null,1,0,0,0,0,0,31,7.34788079488412e-16,2,0.27547618560493,0.940874146297574,NaN
