BlockName,BlockTrial,FieldConstants_1,FieldConstants_2,FieldType,MissTrial,RestFlag,TrialNumber,TargetPosition_1,TargetPosition_2,MovementReactionTime,MovementDurationTime,Adaptation
Null,1,0,0,0,0,0,1,7.34788079488412e-16,2,0.255283116362989,1.02529869135469,NaN
Null,2,-30,-1.4,2,0,0,2,7.34788079488412e-16,2,0.326027732342482,0.779901579022408,-0.103217796466394
Null,3,0,0,0,0,0,3,7.34788079488412e-16,2,0.27694733440876,1.12487114686519,NaN
Null,4,0,0,0,0,0,4,7.34788079488412e-16,2,0.314582807011902,1.13070283550769,NaN
Null,5,0,0,0,0,0,5,7.34788079488412e-16,2,0.27692002709955,1.14616599213332,NaN
Null,6,0,0,0,0,0,6,7.34788079488412e-16,2,0.250673403032124,1.037920974195,NaN
Null,7,0,0,0,0,0,7,7.34788079488412e-16,2,0.295697534456849,0.991834074258804,NaN
Null,8,0,0,0,0,0,8,7.34788079488412e-16,2,0.28826523385942,1.18533697910607,NaN
Null,9,0,0,0,0,0,9,7.34788079488412e-16,2,0.286096300929785,0.973304277285933,NaN
Null,10,0,0,0,0,0,10,7.34788079488412e-16,2,0.289522318169475,1.31770211178809,NaN
Null,1,0,0,0,0,0,11,7.34788079488412e-16,2,0.252845018170774,0.994995801709592,NaN
Null,2,0,0,0,0,0,12,7.34788079488412e-16,2,0.294690599665046,1.09100156184286,NaN
Null,3,-30,-1.4,2,0,0,13,7.34788079488412e-16,2,0.277934520505369,0.876975470222533,0.00453206649757613
Null,4,0,0,0,0,0,14,7.34788079488412e-16,2,0.278885135427117,1.16751106176525,NaN
Null,5,0,0,0,0,0,15,7.34788079488412e-16,2,0.261973260901868,0.753011052496731,NaN
Null,6,0,0,0,0,0,16,7.34788079488412e-16,2,0.294620138593018,0.699678853154182,NaN
Null,7,0,0,0,0,0,17,7.34788079488412e-16,2,0.281956896185875,1.02211038954556,NaN
Null,8,0,0,0,0,0,18,7.34788079488412e-16,2,0.287165164016187,0.84368347004056,NaN
Null,9,0,0,0,0,0,19,7.34788079488412e-16,2,0.292472905479372,0.808149395510554,NaN
Null,10,0,0,0,0,0,20,7.34788079488412e-16,2,0.284066583029926,1.03364016022533,NaN
Null,1,0,0,0,0,0,21,7.34788079488412e-16,2,0.261052634567022,0.693371978588402,NaN
Null,2,-30,-1.4,2,0,0,22,7.34788079488412e-16,2,0.251808581873775,0.688026446849108,-0.0515736425475747
Null,3,0,0,0,0,0,23,7.34788079488412e-16,2,0.268383999355137,1.33442747127265,NaN
Null,4,0,0,0,0,0,24,7.34788079488412e-16,2,0.254884975962341,1.05560767650604,NaN
Null,5,0,0,0,0,0,25,7.34788079488412e-16,2,0.290343469940126,0.799697237089276,NaN
Null,6,0,0,0,0,0,26,7.34788079488412e-16,2,0.271674457006156,0.895915355533361,NaN
