BlockName,BlockTrial,FieldConstants_1,FieldConstants_2,FieldType,MissTrial,RestFlag,TrialNumber,TargetPosition_1,TargetPosition_2,MovementReactionTime,MovementDurationTime,Adaptation
Null,1,0,0,0,0,0,1,7.34788079488412e-16,2,0.298264122568071,1.30331513285637,NaN
Null,2,0,0,0,0,0,2,7.34788079488412e-16,2,0.272611418738961,1.19558991771191,NaN
Null,3,0,0,0,0,0,3,7.34788079488412e-16,2,0.305970465764403,0.969141954556108,NaN
Null,4,0,0,0,0,0,4,7.34788079488412e-16,2,0.292440722696483,1.22126870881766,NaN
Null,5,0,0,0,0,0,5,7.34788079488412e-16,2,0.265360754914582,0.930401291698217,NaN
Null,6,0,0,0,0,0,6,7.34788079488412e-16,2,0.35307795368135,1.01178406458348,NaN
Null,7,0,0,0,0,0,7,7.34788079488412e-16,2,0.265315650962293,1.00551351718605,NaN
Null,8,0,0,0,0,0,8,7.34788079488412e-16,2,0.290165488608181,0.809151210822165,NaN
Null,9,-30,-1.4,2,0,0,9,7.34788079488412e-16,2,0.275585656054318,0.697718622162938,0.000358420023310416
Null,10,0,0,0,0,0,10,7.34788079488412e-16,2,0.265175947919488,0.970395381562412,NaN
Null,1,0,0,0,0,0,11,7.34788079488412e-16,2,0.244254862889647,1.2354572257027,NaN
Null,2,0,0,0,0,0,12,7.34788079488412e-16,2,0.28919951338321,1.11341159325093,NaN
Null,3,0,0,0,0,0,13,7.34788079488412e-16,2,0.271497694775462,1.18204383831471,NaN
Null,4,0,0,0,0,0,14,7.34788079488412e-16,2,0.257034891285002,1.12869993690401,NaN
Null,5,-30,-1.4,2,0,0,15,7.34788079488412e-16,2,0.26525201741606,0.753161239437759,0.163531833944613
Null,6,0,0,0,0,0,16,7.34788079488412e-16,2,0.312015976756811,0.983556971885264,NaN
Null,7,0,0,0,0,0,17,7.34788079488412e-16,2,0.273692959919572,0.856315749697387,NaN
Null,8,0,0,0,0,0,18,7.34788079488412e-16,2,0.274723543785512,0.867698746733367,NaN
Null,9,0,0,0,0,0,19,7.34788079488412e-16,2,0.252892073243856,0.792373674921691,NaN
Null,10,0,0,0,0,0,20,7.34788079488412e-16,2,0.254782087169588,0.668455093167722,NaN
Null,1,0,0,0,0,0,21,7.34788079488412e-16,2,0.308967865072191,0.722856886684895,NaN
Null,2,0,0,0,0,0,22,7.34788079488412e-16,2,0.249465567991138,0.688542348332703,NaN
