BlockName,BlockTrial,ControlPoint,FieldConstants_1,FieldConstants_2,FieldType,MissTrial,RestFlag,TrialNumber,TargetPosition_1,TargetPosition_2,MovementReactionTime,MovementDurationTime,Adaptation
Null8,1,-1,0,0,0,0,0,1,7.34788079488412e-16,2,0.537924594711512,0.812020548153669,NaN
Null8,2,-1,0,0,0,0,0,2,7.34788079488412e-16,2,0.353671773802489,0.847613834775984,NaN
Null8,3,1,0,0,0,0,0,3,7.34788079488412e-16,2,0.393087751697749,0.927912306506187,NaN
Null8,4,1,0,0,0,0,0,4,7.34788079488412e-16,2,0.404273252002895,0.903509640134871,NaN
Null8,5,1,0,0,0,0,0,5,7.34788079488412e-16,2,0.412635436281562,0.979032367933542,NaN
Null8,6,-1,0,0,0,0,0,6,7.34788079488412e-16,2,0.429367606062442,1.01856830110773,NaN
Null8,7,-1,0,0,0,0,0,7,7.34788079488412e-16,2,0.360064707230777,0.80652971053496,NaN
Null8,8,1,0,0,0,0,0,8,7.34788079488412e-16,2,0.398995991796255,0.884069232270122,NaN
Triplet2,1,1,-30,-1.4,2,0,0,9,7.34788079488412e-16,2,0.376299993600696,0.75432640267536,-0.0207857208093796
Triplet2,2,-1,-0.15,0,1,0,0,10,7.34788079488412e-16,2,0.416416680440307,1.41361555084586,NaN
Triplet2,3,1,-30,-1.4,2,0,0,11,7.34788079488412e-16,2,0.426910736598074,0.966458859387785,-0.105939083469182
Null12,1,-1,0,0,0,0,0,12,7.34788079488412e-16,2,0.330768049228936,1.04269692534581,NaN
Null12,2,1,0,0,0,0,0,13,7.34788079488412e-16,2,0.426489189267159,0.95777289615944,NaN
Null12,3,-1,0,0,0,0,0,14,7.34788079488412e-16,2,0.375200899317861,0.987099054735154,NaN
Null12,4,1,0,0,0,0,0,15,7.34788079488412e-16,2,0.488580686505884,1.12364807538688,NaN
Null12,5,1,0,0,0,0,0,16,7.34788079488412e-16,2,0.458684988319874,0.943585367873311,NaN
Null12,6,-1,0,0,0,0,0,17,7.34788079488412e-16,2,0.377392260357738,0.672972966451198,NaN
Null12,7,-1,0,0,0,0,0,18,7.34788079488412e-16,2,0.39015057682991,1.34075205540285,NaN
Null12,8,1,0,0,0,0,0,19,7.34788079488412e-16,2,0.347675518598408,0.846756843850017,NaN
Null12,9,1,0,0,0,0,0,20,7.34788079488412e-16,2,0.478281190618873,0.796475730836391,NaN
Null12,10,-1,0,0,0,0,0,21,7.34788079488412e-16,2,0.35516023170203,1.07817830285057,NaN
Null12,11,-1,0,0,0,0,0,22,7.34788079488412e-16,2,0.364915788173676,0.700102644041181,NaN
Null12,12,1,0,0,0,0,0,23,7.34788079488412e-16,2,0.523201172240078,1.52735056914389,NaN
Triplet3,1,1,-30,-1.4,2,0,0,24,7.34788079488412e-16,2,0.414770233910531,0.734263304620981,-0.0348839789113002
Triplet3,2,1,-0.15,0,1,0,0,25,7.34788079488412e-16,2,0.509296950418502,1.30280941864476,NaN
Triplet3,3,1,-30,-1.4,2,0,0,26,7.34788079488412e-16,2,0.360173690132797,0.826752503868192,-0.352603442329918
Null10,1,1,0,0,0,0,0,27,7.34788079488412e-16,2,0.354327377863228,0.967703751754016,NaN
Null10,2,-1,0,0,0,0,0,28,7.34788079488412e-16,2,0.309420561883599,1.15025843819603,NaN
Null10,3,-1,0,0,0,0,0,29,7.34788079488412e-16,2,0.315321487840265,0.865547986701131,NaN
Null10,4,1,0,0,0,0,0,30,7.34788079488412e-16,2,0.569757848512381,0.742035957053304,NaN
Null10,5,-1,0,0,0,0,0,31,7.34788079488412e-16,2,0.364205814432353,0.805693687405437,NaN
Null10,6,1,0,0,0,0,0,32,7.34788079488412e-16,2,0.363142560236156,0.880935546476394,NaN
Null10,7,1,0,0,0,0,0,33,7.34788079488412e-16,2,0.476006445940584,0.814384771045297,NaN
Null10,8,1,0,0,0,0,0,34,7.34788079488412e-16,2,0.388688206672668,0.761791123077273,NaN
Null10,9,-1,0,0,0,0,0,35,7.34788079488412e-16,2,0.461392738390714,1.09228415507823,NaN
Null10,10,-1,0,0,0,0,0,36,7.34788079488412e-16,2,0.365433395840228,0.868583173025399,NaN
Triplet4,1,1,-30,-1.4,2,0,0,37,7.34788079488412e-16,2,0.495595334563404,0.7029381506145,-0.0268394342501405
Triplet4,2,-1,0.15,0,1,0,0,38,7.34788079488412e-16,2,0.312057607341558,1.04492095671594,NaN
Triplet4,3,1,-30,-1.4,2,0,0,39,7.34788079488412e-16,2,0.398904319386929,0.817390456330031,0.180672904677392
Null12,1,-1,0,0,0,0,0,40,7.34788079488412e-16,2,0.443902564235032,1.06251913867891,NaN
Null12,2,1,0,0,0,0,0,41,7.34788079488412e-16,2,0.322217400185764,0.762911672703922,NaN
Null12,3,1,0,0,0,0,0,42,7.34788079488412e-16,2,0.394192697480321,0.902466866187751,NaN
Null12,4,-1,0,0,0,0,0,43,7.34788079488412e-16,2,0.353070782497525,0.845373468007892,NaN
Null12,5,-1,0,0,0,0,0,44,7.34788079488412e-16,2,0.28706004563719,0.728805137332529,NaN
Null12,6,1,0,0,0,0,0,45,7.34788079488412e-16,2,0.366619774140418,1.11596270697191,NaN
Null12,7,1,0,0,0,0,0,46,7.34788079488412e-16,2,0.353074927814305,1.0898494720459,NaN
Null12,8,1,0,0,0,0,0,47,7.34788079488412e-16,2,0.339472054503858,0.881911272648722,NaN
Null12,9,-1,0,0,0,0,0,48,7.34788079488412e-16,2,0.348711221944541,0.785805156920105,NaN
Null12,10,-1,0,0,0,0,0,49,7.34788079488412e-16,2,0.347380752675235,1.13600313058123,NaN
Null12,11,1,0,0,0,0,0,50,7.34788079488412e-16,2,0.424062064383179,1.21683140052482,NaN
Null12,12,-1,0,0,0,0,0,51,7.34788079488412e-16,2,0.392990715801716,0.802376900333911,NaN
Triplet1,1,1,-30,-1.4,2,0,0,52,7.34788079488412e-16,2,0.33654585108161,0.625253561884165,-0.0565680515423925
Triplet1,2,1,0.15,0,1,0,0,53,7.34788079488412e-16,2,0.391565404366702,1.56609558314085,NaN
Triplet1,3,1,-30,-1.4,2,0,0,54,7.34788079488412e-16,2,0.357591989450157,0.949077668134123,0.131315957603819
Null8,1,1,0,0,0,0,0,55,7.34788079488412e-16,2,0.444008621387184,1.03328343387693,NaN
Null8,2,-1,0,0,0,0,0,56,7.34788079488412e-16,2,0.345644096378237,1.15274773491547,NaN
Null8,3,1,0,0,0,0,0,57,7.34788079488412e-16,2,0.380998936947435,0.917243195232004,NaN
Null8,4,1,0,0,0,0,0,58,7.34788079488412e-16,2,0.316161411814392,0.810968265403062,NaN
Null8,5,1,0,0,0,0,0,59,7.34788079488412e-16,2,0.338830347172916,0.956191059201956,NaN
Null8,6,-1,0,0,0,0,0,60,7.34788079488412e-16,2,0.475452023092657,0.879579965025187,NaN
Null8,7,-1,0,0,0,0,0,61,7.34788079488412e-16,2,0.358753254637122,1.27677859133109,NaN
Null8,8,-1,0,0,0,0,0,62,7.34788079488412e-16,2,0.39370629703626,0.786807214841247,NaN
Triplet4,1,1,-30,-1.4,2,0,0,63,7.34788079488412e-16,2,0.482673665508628,1.0247376607731,-0.029953038721873
Triplet4,2,-1,0.15,0,1,0,0,64,7.34788079488412e-16,2,0.339212641119957,1.29334911610931,NaN
Triplet4,3,1,-30,-1.4,2,0,0,65,7.34788079488412e-16,2,0.318564399611205,0.802734081633389,0.0554266861092485
Null10,1,-1,0,0,0,0,0,66,7.34788079488412e-16,2,0.282948195468634,1.39892406808212,NaN
Null10,2,1,0,0,0,0,0,67,7.34788079488412e-16,2,0.311289606615901,0.770106008276343,NaN
Null10,3,-1,0,0,0,0,0,68,7.34788079488412e-16,2,0.319645939394832,0.875625127926469,NaN
Null10,4,-1,0,0,0,0,0,69,7.34788079488412e-16,2,0.372099396307021,0.953889251686633,NaN
Null10,5,-1,0,0,0,0,0,70,7.34788079488412e-16,2,0.508158846758306,0.888166941236705,NaN
Null10,6,-1,0,0,0,0,0,71,7.34788079488412e-16,2,0.354145008604974,0.735640585422516,NaN
Null10,7,1,0,0,0,0,0,72,7.34788079488412e-16,2,0.447108417283744,1.19427047250792,NaN
Null10,8,1,0,0,0,0,0,73,7.34788079488412e-16,2,0.356288826558739,0.73783657932654,NaN
Null10,9,1,0,0,0,0,0,74,7.34788079488412e-16,2,0.347617004532367,1.1672978089191,NaN
Null10,10,1,0,0,0,0,0,75,7.34788079488412e-16,2,0.337637630291283,1.1927798204124,NaN
Triplet2,1,1,-30,-1.4,2,0,0,76,7.34788079488412e-16,2,0.366380352992564,0.584685826674104,-0.00407133913755602
Triplet2,2,-1,-0.15,0,1,0,0,77,7.34788079488412e-16,2,0.406328080222011,1.55422449018806,NaN
Triplet2,3,1,-30,-1.4,2,0,0,78,7.34788079488412e-16,2,0.334258672315627,0.798339168541133,-0.34563499934878
Null8,1,1,0,0,0,0,0,79,7.34788079488412e-16,2,0.35709851840511,0.941617336124182,NaN
Null8,2,1,0,0,0,0,0,80,7.34788079488412e-16,2,0.319774670992047,1.20459508057684,NaN
Null8,3,-1,0,0,0,0,0,81,7.34788079488412e-16,2,0.452969601843506,0.95529408287257,NaN
Null8,4,1,0,0,0,0,0,82,7.34788079488412e-16,2,0.405640780460089,0.889019787777215,NaN
Null8,5,1,0,0,0,0,0,83,7.34788079488412e-16,2,0.32681565079838,0.698408897966146,NaN
Null8,6,-1,0,0,0,0,0,84,7.34788079488412e-16,2,0.350788724143058,1.13286920078099,NaN
Null8,7,-1,0,0,0,0,0,85,7.34788079488412e-16,2,0.286245720926672,1.17926276801154,NaN
Null8,8,-1,0,0,0,0,0,86,7.34788079488412e-16,2,0.386215732432902,0.839448161423206,NaN
Triplet1,1,1,-30,-1.4,2,0,0,87,7.34788079488412e-16,2,0.313495352864265,0.816535415593535,0.0996572708936923
Triplet1,2,1,0.15,0,1,0,0,88,7.34788079488412e-16,2,0.375015847850591,1.6064911885187,NaN
Triplet1,3,1,-30,-1.4,2,0,0,89,7.34788079488412e-16,2,0.403173670638353,0.868361062835902,-0.133021945198101
Null10,1,-1,0,0,0,0,0,90,7.34788079488412e-16,2,0.440928329713643,0.996957986615598,NaN
Null10,2,-1,0,0,0,0,0,91,7.34788079488412e-16,2,0.403047376777977,1.10638659447432,NaN
Null10,3,-1,0,0,0,0,0,92,7.34788079488412e-16,2,0.362131481524557,0.784142374992371,NaN
Null10,4,1,0,0,0,0,0,93,7.34788079488412e-16,2,0.461565111763775,0.858089361339808,NaN
Null10,5,-1,0,0,0,0,0,94,7.34788079488412e-16,2,0.335814421530813,1.19387574447319,NaN
Null10,6,1,0,0,0,0,0,95,7.34788079488412e-16,2,0.366521518677473,0.604225709103048,NaN
Null10,7,-1,0,0,0,0,0,96,7.34788079488412e-16,2,0.278657144866884,0.875866256188601,NaN
Null10,8,1,0,0,0,0,0,97,7.34788079488412e-16,2,0.379999073687941,0.976041310932487,NaN
