BlockName,BlockTrial,FieldConstants_1,FieldConstants_2,FieldType,MissTrial,RestFlag,TrialNumber,TargetPosition_1,TargetPosition_2,MovementReactionTime,MovementDurationTime,Adaptation
FieldA,8,0.15,0,1,0,0,78,7.34788079488412e-16,2,0.286324994638562,0.82265218347311,NaN
FieldA,9,0.15,0,1,0,0,79,7.34788079488412e-16,2,0.291430130600929,0.994662269949913,NaN
FieldA,10,-30,-1.4,2,0,0,80,7.34788079488412e-16,2,0.294755453243852,0.615586864762008,0.882044252293464
FieldA,1,0.15,0,1,0,0,81,7.34788079488412e-16,2,0.273941158317029,1.22127821762115,NaN
FieldA,2,0.15,0,1,0,0,82,7.34788079488412e-16,2,0.367557580582798,0.991528092883527,NaN
FieldA,3,0.15,0,1,0,0,83,7.34788079488412e-16,2,0.263037002645433,0.821672799065709,NaN
FieldA,4,0.15,0,1,0,0,84,7.34788079488412e-16,2,0.329094129614532,0.696223823353648,NaN
FieldA,5,0.15,0,1,0,0,85,7.34788079488412e-16,2,0.230970148928463,1.27366857882589,NaN
FieldA,6,0.15,0,1,0,0,86,7.34788079488412e-16,2,0.265479979105294,1.00518412981182,NaN
FieldA,7,-30,-1.4,2,0,0,87,7.34788079488412e-16,2,0.257883836515248,0.63472399301827,0.633998765611615
FieldA,8,0.15,0,1,0,0,88,7.34788079488412e-16,2,0.234996913932264,1.07725360803306,NaN
FieldA,9,0.15,0,1,0,0,89,7.34788079488412e-16,2,0.324977154843509,1.02287302631885,NaN
FieldA,10,0.15,0,1,0,0,90,7.34788079488412e-16,2,0.286480057984591,0.901481048204005,NaN
FieldA,1,0.15,0,1,0,0,91,7.34788079488412e-16,2,0.274013813585043,0.920336574316025,NaN
FieldA,2,0.15,0,1,0,0,92,7.34788079488412e-16,2,0.2954515311867,0.812987071461976,NaN
FieldA,3,0.15,0,1,0,0,93,7.34788079488412e-16,2,0.25277675036341,0.720871298573911,NaN
FieldA,4,0.15,0,1,0,0,94,7.34788079488412e-16,2,0.257121443748474,1.05212826561183,NaN
FieldA,5,0.15,0,1,0,0,95,7.34788079488412e-16,2,0.298515734262764,1.05966930557042,NaN
FieldA,6,-30,-1.4,2,0,0,96,7.34788079488412e-16,2,0.287032531574368,0.822610004805028,0.821649296689392
FieldA,7,0.15,0,1,0,0,97,7.34788079488412e-16,2,0.263355907052755,0.932138924486935,NaN
FieldA,8,0.15,0,1,0,0,98,7.34788079488412e-16,2,0.278974857181311,0.701488898135722,NaN
FieldA,9,0.15,0,1,0,0,99,7.34788079488412e-16,2,0.250838705338538,0.956276105716825,NaN
FieldA,10,0.15,0,1,0,0,100,7.34788079488412e-16,2,0.35802193172276,0.944709519855678,NaN
FieldA,1,0.15,0,1,0,0,101,7.34788079488412e-16,2,0.25174567848444,0.951842909678817,NaN
FieldA,2,0.15,0,1,0,0,102,7.34788079488412e-16,2,0.254878636449575,1.21090044826269,NaN
FieldA,3,-30,-1.4,2,0,0,103,7.34788079488412e-16,2,0.264112205244601,0.715144691057503,0.874237619368351
FieldA,4,0.15,0,1,0,0,104,7.34788079488412e-16,2,0.307073218747973,0.908273835666478,NaN
FieldA,5,0.15,0,1,0,0,105,7.34788079488412e-16,2,0.2594298357144,0.803467269986868,NaN
FieldA,6,0.15,0,1,0,0,106,7.34788079488412e-16,2,0.29582358431071,0.695030617527664,NaN
FieldA,7,0.15,0,1,0,0,107,7.34788079488412e-16,2,0.265497288666666,1.2672171248123,NaN
FieldA,8,0.15,0,1,0,0,108,7.34788079488412e-16,2,0.342624846845865,0.989548113197088,NaN
FieldA,9,0.15,0,1,0,0,109,7.34788079488412e-16,2,0.255921898409724,0.636619370430708,NaN
FieldA,10,0.15,0,1,0,0,110,7.34788079488412e-16,2,0.277910627424717,0.78796705417335,NaN
PostRest,1,0.15,0,1,0,0,111,7.34788079488412e-16,2,0.641922967508435,1.48438860755414,NaN
PostRest,2,0.15,0,1,0,0,112,7.34788079488412e-16,2,0.266517877578735,0.763858399353921,NaN
PostRest,3,0.15,0,1,0,0,113,7.34788079488412e-16,2,0.459477573633194,1.04067529458553,NaN
PostRest,4,0.15,0,1,0,0,114,7.34788079488412e-16,2,0.289569617249072,0.562414362095296,NaN
PostRest,5,0.15,0,1,0,0,115,7.34788079488412e-16,2,0.27132654003799,0.988776942715049,NaN
FieldA,1,0.15,0,1,0,0,116,7.34788079488412e-16,2,0.274997586384416,0.98077095579356,NaN
FieldA,2,0.15,0,1,0,0,117,7.34788079488412e-16,2,0.36264846753329,0.743119196034968,NaN
FieldA,3,0.15,0,1,0,0,118,7.34788079488412e-16,2,0.313505411148071,0.916685765609145,NaN
FieldA,4,0.15,0,1,0,0,119,7.34788079488412e-16,2,0.26205859426409,1.3945383168757,NaN
FieldA,5,-30,-1.4,2,0,0,120,7.34788079488412e-16,2,0.305561109445989,0.599175776354969,0.997174715712209
FieldA,6,0.15,0,1,0,0,121,7.34788079488412e-16,2,0.274631139822304,0.931173437274992,NaN
FieldA,7,0.15,0,1,0,0,122,7.34788079488412e-16,2,0.2437150683254,0.769040334038436,NaN
FieldA,8,0.15,0,1,0,0,123,7.34788079488412e-16,2,0.297595351934433,0.997993200086057,NaN
FieldA,9,0.15,0,1,0,0,124,7.34788079488412e-16,2,0.29220568947494,0.786252339370549,NaN
FieldA,10,0.15,0,1,0,0,125,7.34788079488412e-16,2,0.295599035918713,1.00745546258986,NaN
FieldA,1,0.15,0,1,0,0,126,7.34788079488412e-16,2,0.129445021040738,0.826606536284089,NaN
FieldA,2,0.15,0,1,0,0,127,7.34788079488412e-16,2,0.28510448243469,0.540412466973066,NaN
FieldA,3,0.15,0,1,0,0,128,7.34788079488412e-16,2,0.275646852329373,0.665814144536853,NaN
FieldA,4,0.15,0,1,0,0,129,7.34788079488412e-16,2,0.257470335811377,1.02303711045533,NaN
FieldA,5,0.15,0,1,0,0,130,7.34788079488412e-16,2,0.05225626565516,0.916656021028757,NaN
FieldA,6,0.15,0,1,0,0,131,7.34788079488412e-16,2,0.375351695343852,1.28995800670236,NaN
FieldA,7,0.15,0,1,0,0,132,7.34788079488412e-16,2,0.299616292119026,0.675084529444575,NaN
FieldA,8,0.15,0,1,0,0,133,7.34788079488412e-16,2,0.303814210928977,0.805649124085903,NaN
FieldA,9,-30,-1.4,2,0,0,134,7.34788079488412e-16,2,0.285227362066507,0.834776119329035,0.629503598833227
FieldA,10,0.15,0,1,0,0,135,7.34788079488412e-16,2,0.597148984670639,1.02287180814892,NaN
FieldA,1,0.15,0,1,0,0,136,7.34788079488412e-16,2,0.624178970232606,0.78926095366478,NaN
FieldA,2,0.15,0,1,0,0,137,7.34788079488412e-16,2,0.314046181738377,0.713288079015911,NaN
FieldA,3,0.15,0,1,0,0,138,7.34788079488412e-16,2,0.331200159154832,0.793237981386483,NaN
FieldA,4,0.15,0,1,0,0,139,7.34788079488412e-16,2,0.272687731310725,0.982302082702518,NaN
FieldA,5,-30,-1.4,2,0,0,140,7.34788079488412e-16,2,0.251942190341651,0.628224020823836,0.919680687076747
FieldA,6,0.15,0,1,0,0,141,7.34788079488412e-16,2,0.274869829416275,1.0875614034012,NaN
FieldA,7,0.15,0,1,0,0,142,7.34788079488412e-16,2,0.278903665021062,0.704413154162467,NaN
