BlockName,BlockTrial,ControlPoint,FieldConstants_1,FieldConstants_2,FieldType,MissTrial,RestFlag,TrialNumber,TargetPosition_1,TargetPosition_2,MovementReactionTime,MovementDurationTime,Adaptation
Null12,1,1,0,0,0,0,0,1,7.34788079488412e-16,2,0.582531036809087,0.997633339371532,NaN
Null12,2,-1,0,0,0,0,0,2,7.34788079488412e-16,2,0.328943377826363,1.01601707655936,NaN
Null12,3,1,0,0,0,0,0,3,7.34788079488412e-16,2,0.326945845037699,0.947912501171231,NaN
Null12,4,-1,0,0,0,0,0,4,7.34788079488412e-16,2,0.307037322316319,1.17334282537922,NaN
Null12,5,-1,0,0,0,0,0,5,7.34788079488412e-16,2,0.342556247022003,1.13862164644524,NaN
Null12,6,-1,0,0,0,0,0,6,7.34788079488412e-16,2,0.369493558537215,0.644583524204791,NaN
Null12,7,1,0,0,0,0,0,7,7.34788079488412e-16,2,0.356412925757468,0.891525663435459,NaN
Null12,8,1,0,0,0,0,0,8,7.34788079488412e-16,2,0.412522308528423,0.787464525550604,NaN
Null12,9,1,0,0,0,0,0,9,7.34788079488412e-16,2,0.340702806133777,0.92326895147562,NaN
Null12,10,1,0,0,0,0,0,10,7.34788079488412e-16,2,0.350395703222603,1.30366445938125,NaN
Null12,11,-1,0,0,0,0,0,11,7.34788079488412e-16,2,0.339715620037168,0.859708501491696,NaN
Null12,12,-1,0,0,0,0,0,12,7.34788079488412e-16,2,0.368511249311268,0.758149094413966,NaN
Triplet4,1,-1,-30,-1.4,2,0,0,13,7.34788079488412e-16,2,0.35508416313678,0.602584138512611,0.0230795103367001
Triplet4,2,1,0.15,0,1,0,0,14,7.34788079488412e-16,2,0.322725987527519,1.74246116122231,NaN
Triplet4,3,-1,-30,-1.4,2,0,0,15,7.34788079488412e-16,2,0.328212923835963,0.856065497267991,0.0924259672587473
Null10,1,1,0,0,0,0,0,16,7.34788079488412e-16,2,0.368563668336719,0.624733759555966,NaN
Null10,2,-1,0,0,0,0,0,17,7.34788079488412e-16,2,0.318556597921997,0.946890695486218,NaN
Null10,3,-1,0,0,0,0,0,18,7.34788079488412e-16,2,0.344320697244257,0.955856064800173,NaN
Null10,4,-1,0,0,0,0,0,19,7.34788079488412e-16,2,0.374790567904711,0.912632998544723,NaN
Null10,5,-1,0,0,0,0,0,20,7.34788079488412e-16,2,0.349893211387098,0.992886121384799,NaN
Null10,6,-1,0,0,0,0,0,21,7.34788079488412e-16,2,0.373512517195195,0.810266093816608,NaN
Null10,7,1,0,0,0,0,0,22,7.34788079488412e-16,2,0.346907274331897,0.932707067579031,NaN
Null10,8,1,0,0,0,0,0,23,7.34788079488412e-16,2,0.442382166627795,0.804879119154066,NaN
Null10,9,1,0,0,0,0,0,24,7.34788079488412e-16,2,0.345972507726401,0.758773735258728,NaN
Null10,10,1,0,0,0,0,0,25,7.34788079488412e-16,2,0.44810047885403,0.955353816971183,NaN
Triplet1,1,-1,-30,-1.4,2,0,0,26,7.34788079488412e-16,2,0.324605516158044,0.91008469928056,-0.202935607786669
Triplet1,2,-1,0.15,0,1,0,0,27,7.34788079488412e-16,2,0.361135275103152,1.60070436634123,NaN
Triplet1,3,-1,-30,-1.4,2,0,0,28,7.34788079488412e-16,2,0.349451915826648,1.01728415535763,-0.0548820681421881
Null8,1,-1,0,0,0,0,0,29,7.34788079488412e-16,2,0.379935682751238,1.06821819022298,NaN
Null8,2,1,0,0,0,0,0,30,7.34788079488412e-16,2,0.39591301837936,1.13298574229702,NaN
Null8,3,1,0,0,0,0,0,31,7.34788079488412e-16,2,0.384295975323766,1.00243565859273,NaN
Null8,4,1,0,0,0,0,0,32,7.34788079488412e-16,2,0.58168257959187,0.766445694025606,NaN
Null8,5,-1,0,0,0,0,0,33,7.34788079488412e-16,2,0.430378441233188,0.974351710174233,NaN
Null8,6,-1,0,0,0,0,0,34,7.34788079488412e-16,2,0.453376032412052,0.895319829229265,NaN
Null8,7,-1,0,0,0,0,0,35,7.34788079488412e-16,2,0.430293839424849,1.09007792174816,NaN
Null8,8,1,0,0,0,0,0,36,7.34788079488412e-16,2,0.396869727410376,0.663979315198958,NaN
Triplet2,1,-1,-30,-1.4,2,0,0,37,7.34788079488412e-16,2,0.361385180149227,0.926244892179966,-0.224203379975039
