x,y
6.700000000000000000e+01,1.587700396776199341e-01
6.800000000000000000e+01,1.677897721529006958e-01
6.900000000000000000e+01,1.767128407955169678e-01
7.000000000000000000e+01,1.855402290821075439e-01
7.100000000000000000e+01,1.942729949951171875e-01
7.200000000000000000e+01,2.029121518135070801e-01
7.300000000000000000e+01,2.114586681127548218e-01
7.400000000000000000e+01,2.199135720729827881e-01
7.500000000000000000e+01,2.282778620719909668e-01
7.600000000000000000e+01,2.365524768829345703e-01
7.700000000000000000e+01,2.447383701801300049e-01
7.800000000000000000e+01,2.528365254402160645e-01
7.900000000000000000e+01,2.608478367328643799e-01
8.000000000000000000e+01,2.687732875347137451e-01
8.100000000000000000e+01,2.766137719154357910e-01
8.200000000000000000e+01,2.843702435493469238e-01
8.300000000000000000e+01,2.920435369014739990e-01
8.400000000000000000e+01,2.996345758438110352e-01
8.500000000000000000e+01,3.071442246437072754e-01
8.600000000000000000e+01,3.145733773708343506e-01
8.700000000000000000e+01,3.219228684902191162e-01
8.800000000000000000e+01,3.291935920715332031e-01
8.900000000000000000e+01,3.363864123821258545e-01
9.000000000000000000e+01,3.435020744800567627e-01
9.100000000000000000e+01,3.505414724349975586e-01
9.200000000000000000e+01,3.575054109096527100e-01
9.300000000000000000e+01,3.643947243690490723e-01
9.400000000000000000e+01,3.712101280689239502e-01
9.500000000000000000e+01,3.779525160789489746e-01
9.600000000000000000e+01,3.846226036548614502e-01
9.700000000000000000e+01,3.912212252616882324e-01
9.800000000000000000e+01,3.977490663528442383e-01
9.900000000000000000e+01,4.042069613933563232e-01
1.000000000000000000e+02,4.105956554412841797e-01
1.010000000000000000e+02,4.169158339500427246e-01
1.020000000000000000e+02,4.231683015823364258e-01
1.030000000000000000e+02,4.293536543846130371e-01
1.040000000000000000e+02,4.354727864265441895e-01
1.050000000000000000e+02,4.415262341499328613e-01
1.060000000000000000e+02,4.475148618221282959e-01
1.070000000000000000e+02,4.534393250942230225e-01
1.080000000000000000e+02,4.593002200126647949e-01
1.090000000000000000e+02,4.650982618331909180e-01
1.100000000000000000e+02,4.708341956138610840e-01
1.110000000000000000e+02,4.765086472034454346e-01
1.120000000000000000e+02,4.821222424507141113e-01
1.130000000000000000e+02,4.876756370067596436e-01
1.140000000000000000e+02,4.931695163249969482e-01
1.150000000000000000e+02,4.986045360565185547e-01
1.160000000000000000e+02,5.039812326431274414e-01
1.170000000000000000e+02,5.093003511428833008e-01
1.180000000000000000e+02,5.145624279975891113e-01
1.190000000000000000e+02,5.197680592536926270e-01
1.200000000000000000e+02,5.249179005622863770e-01
1.210000000000000000e+02,5.300126075744628906e-01
1.220000000000000000e+02,5.350525975227355957e-01
1.230000000000000000e+02,5.400385856628417969e-01
1.240000000000000000e+02,5.449711084365844727e-01
1.250000000000000000e+02,5.498507618904113770e-01
1.260000000000000000e+02,5.546781420707702637e-01
1.270000000000000000e+02,5.594536662101745605e-01
1.280000000000000000e+02,5.641781091690063477e-01
1.290000000000000000e+02,5.688518285751342773e-01
1.300000000000000000e+02,5.734754204750061035e-01
1.310000000000000000e+02,5.780495405197143555e-01
1.320000000000000000e+02,5.825745463371276855e-01
1.330000000000000000e+02,5.870510935783386230e-01
1.340000000000000000e+02,5.914796590805053711e-01
1.350000000000000000e+02,5.958606600761413574e-01
1.360000000000000000e+02,6.001947522163391113e-01
1.370000000000000000e+02,6.044822931289672852e-01
1.380000000000000000e+02,6.087239980697631836e-01
1.390000000000000000e+02,6.129201054573059082e-01
1.400000000000000000e+02,6.170713305473327637e-01
1.410000000000000000e+02,6.211779117584228516e-01
1.420000000000000000e+02,6.252405643463134766e-01
1.430000000000000000e+02,6.292596459388732910e-01
1.440000000000000000e+02,6.332356333732604980e-01
1.450000000000000000e+02,6.371689438819885254e-01
1.460000000000000000e+02,6.410601139068603516e-01
1.470000000000000000e+02,6.449095606803894043e-01
1.480000000000000000e+02,6.487177610397338867e-01
1.490000000000000000e+02,6.524850130081176758e-01
1.500000000000000000e+02,6.562119722366333008e-01
1.510000000000000000e+02,6.598989963531494141e-01
1.520000000000000000e+02,6.635464429855346680e-01
1.530000000000000000e+02,6.671547889709472656e-01
1.540000000000000000e+02,6.707244515419006348e-01
1.550000000000000000e+02,6.742558479309082031e-01
1.560000000000000000e+02,6.777493953704833984e-01
1.570000000000000000e+02,6.812054514884948730e-01
1.580000000000000000e+02,6.846244335174560547e-01
1.590000000000000000e+02,6.880068182945251465e-01
1.600000000000000000e+02,6.913529038429260254e-01
1.610000000000000000e+02,6.946631073951721191e-01
1.620000000000000000e+02,6.979378461837768555e-01
1.630000000000000000e+02,7.011774182319641113e-01
1.640000000000000000e+02,7.043823003768920898e-01
1.650000000000000000e+02,7.075527906417846680e-01
1.660000000000000000e+02,7.106893062591552734e-01
1.670000000000000000e+02,7.137922048568725586e-01
1.680000000000000000e+02,7.168618440628051758e-01
1.690000000000000000e+02,7.198985815048217773e-01
1.700000000000000000e+02,7.229026556015014648e-01
1.710000000000000000e+02,7.258745431900024414e-01
1.720000000000000000e+02,7.288146018981933594e-01
1.730000000000000000e+02,7.317232489585876465e-01
1.740000000000000000e+02,7.346005439758300781e-01
1.750000000000000000e+02,7.374470233917236328e-01
1.760000000000000000e+02,7.402630448341369629e-01
1.770000000000000000e+02,7.430487275123596191e-01
1.780000000000000000e+02,7.458045482635498047e-01
1.790000000000000000e+02,7.485309839248657227e-01
1.800000000000000000e+02,7.512280344963073730e-01
1.810000000000000000e+02,7.538962364196777344e-01
1.820000000000000000e+02,7.565358281135559082e-01
1.830000000000000000e+02,7.591471672058105469e-01
1.840000000000000000e+02,7.617303729057312012e-01
1.850000000000000000e+02,7.642859220504760742e-01
1.860000000000000000e+02,7.668141126632690430e-01
