x,y
-2.000000000000000000e+00,2.003268084488809109e+00
-1.979899497487437099e+00,1.983213023532968133e+00
-1.959798994974874420e+00,1.963158881326847238e+00
-1.939698492462311519e+00,1.943105685344461930e+00
-1.919597989949748840e+00,1.923053463991151180e+00
-1.899497487437185939e+00,1.903002246137914355e+00
-1.879396984924623037e+00,1.882952062285565997e+00
-1.859296482412060358e+00,1.862902944331904509e+00
-1.839195979899497457e+00,1.842854923010574408e+00
-1.819095477386934778e+00,1.822808033246172688e+00
-1.798994974874371877e+00,1.802762308566311589e+00
-1.778894472361808976e+00,1.782717786223894318e+00
-1.758793969849246297e+00,1.762674502773332152e+00
-1.738693467336683396e+00,1.742632496166019562e+00
-1.718592964824120717e+00,1.722591807845811562e+00
-1.698492462311557816e+00,1.702552478325239704e+00
-1.678391959798994915e+00,1.682514551376465217e+00
-1.658291457286432236e+00,1.662478072634294479e+00
-1.638190954773869334e+00,1.642443086336549340e+00
-1.618090452261306655e+00,1.622409644637294424e+00
-1.597989949748743754e+00,1.602377795499641877e+00
-1.577889447236180853e+00,1.582347592008978676e+00
-1.557788944723617952e+00,1.562319089113336723e+00
-1.537688442211055273e+00,1.542292344554715866e+00
-1.517587939698492594e+00,1.522267417472099371e+00
-1.497487437185929693e+00,1.502244370264099516e+00
-1.477386934673366792e+00,1.482223268123296744e+00
-1.457286432160803891e+00,1.462204177639255143e+00
-1.437185929648241212e+00,1.442187170989474465e+00
-1.417085427135678533e+00,1.422172321282776597e+00
-1.396984924623115631e+00,1.402159705353273722e+00
-1.376884422110552730e+00,1.382149406088675203e+00
-1.356783919597989829e+00,1.362141506842351468e+00
-1.336683417085427150e+00,1.342136096555608615e+00
-1.316582914572864471e+00,1.322133268360703884e+00
-1.296482412060301570e+00,1.302133120512168674e+00
-1.276381909547738669e+00,1.282135755455486414e+00
-1.256281407035175768e+00,1.262141279361430612e+00
-1.236180904522613089e+00,1.242149806317016880e+00
-1.216080402010050188e+00,1.222161455065873037e+00
-1.195979899497487509e+00,1.202176350870885813e+00
-1.175879396984924607e+00,1.182194626911182933e+00
-1.155778894472361706e+00,1.162216420556844376e+00
-1.135678391959799027e+00,1.142241876628530717e+00
-1.115577889447236126e+00,1.122271153451079195e+00
-1.095477386934673447e+00,1.102304411677634377e+00
-1.075376884422110546e+00,1.082341825931178558e+00
-1.055276381909547645e+00,1.062383576422630149e+00
-1.035175879396984966e+00,1.042429860592375190e+00
-1.015075376884422065e+00,1.022480882865718366e+00
-9.949748743718593857e-01,1.002536857912513568e+00
-9.748743718592964846e-01,9.825980227543555934e-01
-9.547738693467335835e-01,9.626646209320979253e-01
-9.346733668341709045e-01,9.427369160100294021e-01
-9.145728643216080034e-01,9.228151901788896883e-01
-8.944723618090451023e-01,9.028997414619028827e-01
-8.743718592964824232e-01,8.829908911653574499e-01
-8.542713567839195221e-01,8.630889829472829788e-01
-8.341708542713568431e-01,8.431943837487743121e-01
-8.140703517587939420e-01,8.233074940385380902e-01
-7.939698492462310409e-01,8.034287347743782615e-01
-7.738693467336683618e-01,7.835585706862597810e-01
-7.537688442211054607e-01,7.636974972377919002e-01
-7.336683417085427816e-01,7.438460536647457655e-01
-7.135678391959798805e-01,7.240048229750526421e-01
-6.934673366834169794e-01,7.041744412620312144e-01
-6.733668341708543004e-01,6.843556042236449422e-01
-6.532663316582913993e-01,6.645490634372110961e-01
-6.331658291457287202e-01,6.447556496424666772e-01
-6.130653266331658191e-01,6.249762755355343646e-01
-5.929648241206029180e-01,6.052119404255369428e-01
-5.728643216080402389e-01,5.854637535176610008e-01
-5.527638190954773378e-01,5.657329404324142885e-01
-5.326633165829146588e-01,5.460208590381110394e-01
-5.125628140703517577e-01,5.263290273905474326e-01
-4.924623115577888566e-01,5.066591367715191918e-01
-4.723618090452261775e-01,4.870130777658530086e-01
-4.522613065326632764e-01,4.673929812395991590e-01
-4.321608040201003753e-01,4.478012285845811569e-01
-4.120603015075376963e-01,4.282405169109753107e-01
-3.919597989949747951e-01,4.087138730171486767e-01
-3.718592964824121161e-01,3.892247111316602393e-01
-3.517587939698492150e-01,3.697768720288072686e-01
-3.316582914572863139e-01,3.503746602815298594e-01
-3.115577889447236348e-01,3.310228610252166082e-01
-2.914572864321607337e-01,3.117267306444782005e-01
-2.713567839195980547e-01,2.924919725587620256e-01
-2.512562814070351536e-01,2.733245490951903278e-01
-2.311557788944722525e-01,2.542304523832084051e-01
-2.110552763819095734e-01,2.352152070283290985e-01
-1.909547738693466723e-01,2.162831064276209414e-01
-1.708542713567839932e-01,1.974360728308783841e-01
-1.507537688442210921e-01,1.786720293887595901e-01
-1.306532663316581910e-01,1.599828884960268205e-01
-1.105527638190955120e-01,1.413523091667860943e-01
-9.045226130653261087e-02,1.227539480106913938e-01
-7.035175879396993182e-02,1.041511872867544319e-01
-5.025125628140703071e-02,8.549966996339097847e-02
-3.015075376884412961e-02,6.675358987109136777e-02
-1.005025125628145055e-02,4.787510923629434423e-02
1.005025125628122851e-02,2.884433500880589918e-02
3.015075376884412961e-02,9.665886548595903349e-03
5.025125628140703071e-02,-9.631089473040255200e-03
7.035175879396993182e-02,-2.899936382569867632e-02
9.045226130653283292e-02,-4.838345948625466519e-02
1.105527638190952899e-01,-6.772905427157560609e-02
1.306532663316581910e-01,-8.698909403990251477e-02
1.507537688442210921e-01,-1.061262439318637618e-01
1.708542713567839932e-01,-1.251124860391246152e-01
1.909547738693468943e-01,-1.439272157810442820e-01
2.110552763819097954e-01,-1.625548875212072808e-01
2.311557788944722525e-01,-1.809827607667924276e-01
2.512562814070351536e-01,-1.991991492821343357e-01
2.713567839195980547e-01,-2.171920092036976335e-01
2.914572864321609558e-01,-2.349479257611175598e-01
3.115577889447238569e-01,-2.524513644938495283e-01
3.316582914572863139e-01,-2.696840305012373484e-01
3.517587939698492150e-01,-2.866243431765829186e-01
3.718592964824121161e-01,-3.032469444688241644e-01
3.919597989949750172e-01,-3.195221400889920460e-01
4.120603015075379183e-01,-3.354152997384720614e-01
4.321608040201003753e-01,-3.508861455785567962e-01
4.522613065326632764e-01,-3.658880071723880079e-01
4.723618090452261775e-01,-3.803668082059927791e-01
4.924623115577890786e-01,-3.942599787035181436e-01
5.125628140703519797e-01,-4.074950692192396140e-01
5.326633165829144367e-01,-4.199883650295697102e-01
5.527638190954773378e-01,-4.316430234879105043e-01
5.728643216080402389e-01,-4.423470176644062057e-01
5.929648241206031400e-01,-4.519709607764106352e-01
6.130653266331660411e-01,-4.603657816073405407e-01
6.331658291457284982e-01,-4.673599528906930978e-01
6.532663316582913993e-01,-4.727574796532865165e-01
6.733668341708543004e-01,-4.763355448317887486e-01
6.934673366834172015e-01,-4.778444645692356829e-01
7.135678391959801026e-01,-4.770085524823799439e-01
7.336683417085425596e-01,-4.735320056203620176e-01
7.537688442211054607e-01,-4.671102889518641277e-01
7.738693467336683618e-01,-4.574523678976087915e-01
7.939698492462312629e-01,-4.443169926578676154e-01
8.140703517587941640e-01,-4.275714236887258046e-01
8.341708542713566210e-01,-4.072762491115970995e-01
8.542713567839195221e-01,-3.838026568518211334e-01
8.743718592964824232e-01,-3.579745023094829115e-01
8.944723618090453243e-01,-3.312175881922545528e-01
9.145728643216082254e-01,-3.056604559697100321e-01
9.346733668341706824e-01,-2.841174581542085242e-01
9.547738693467335835e-01,-2.698613069764332906e-01
9.748743718592964846e-01,-2.661424821345650393e-01
