x,y
-2.000000000000000000e+00,4.601989407092332840e-03
-1.979899497487437099e+00,4.666397348046302795e-03
-1.959798994974874420e+00,4.732120782136917114e-03
-1.939698492462311519e+00,4.799199290573596954e-03
-1.919597989949748840e+00,4.867673385888338089e-03
-1.899497487437185939e+00,4.937585908919572830e-03
-1.879396984924623037e+00,5.008980631828308105e-03
-1.859296482412060358e+00,5.081905052065849304e-03
-1.839195979899497457e+00,5.156402476131916046e-03
-1.819095477386934778e+00,5.232524126768112183e-03
-1.798994974874371877e+00,5.310319364070892334e-03
-1.778894472361808976e+00,5.389841739088296890e-03
-1.758793969849246297e+00,5.471144802868366241e-03
-1.738693467336683396e+00,5.554284434765577316e-03
-1.718592964824120717e+00,5.639320705085992813e-03
-1.698492462311557816e+00,5.726313684135675430e-03
-1.678391959798994915e+00,5.815326236188411713e-03
-1.658291457286432236e+00,5.906424485146999359e-03
-1.638190954773869334e+00,5.999677814543247223e-03
-1.618090452261306655e+00,6.095155142247676849e-03
-1.597989949748743754e+00,6.192935630679130554e-03
-1.577889447236180853e+00,6.293091457337141037e-03
-1.557788944723617952e+00,6.395706441253423691e-03
-1.537688442211055273e+00,6.500865332782268524e-03
-1.517587939698492594e+00,6.608654744923114777e-03
-1.497487437185929693e+00,6.719166412949562073e-03
-1.477386934673366792e+00,6.832497660070657730e-03
-1.457286432160803891e+00,6.948747672140598297e-03
-1.437185929648241212e+00,7.068023551255464554e-03
-1.417085427135678533e+00,7.190433330833911896e-03
-1.396984924623115631e+00,7.316093891859054565e-03
-1.376884422110552730e+00,7.445125374943017960e-03
-1.356783919597989829e+00,7.577654439955949783e-03
-1.336683417085427150e+00,7.713813334703445435e-03
-1.316582914572864471e+00,7.853740826249122620e-03
-1.296482412060301570e+00,7.997587323188781738e-03
-1.276381909547738669e+00,8.145505562424659729e-03
-1.256281407035175768e+00,8.297654800117015839e-03
-1.236180904522613089e+00,8.454211056232452393e-03
-1.216080402010050188e+00,8.615349419414997101e-03
-1.195979899497487509e+00,8.781262673437595367e-03
-1.175879396984924607e+00,8.952151052653789520e-03
-1.155778894472361706e+00,9.128225035965442657e-03
-1.135678391959799027e+00,9.309709072113037109e-03
-1.115577889447236126e+00,9.496841579675674438e-03
-1.095477386934673447e+00,9.689874015748500824e-03
-1.075376884422110546e+00,9.889069944620132446e-03
-1.055276381909547645e+00,1.009471155703067780e-02
-1.035175879396984966e+00,1.030710153281688690e-02
-1.015075376884422065e+00,1.052656210958957672e-02
-9.949748743718593857e-01,1.075342576950788498e-02
-9.748743718592964846e-01,1.098806411027908325e-02
-9.547738693467335835e-01,1.123085804283618927e-02
-9.346733668341709045e-01,1.148222852498292923e-02
-9.145728643216080034e-01,1.174261420965194702e-02
-8.944723618090451023e-01,1.201249472796916962e-02
-8.743718592964824232e-01,1.229237951338291168e-02
-8.542713567839195221e-01,1.258282084017992020e-02
-8.341708542713568431e-01,1.288441196084022522e-02
-8.140703517587939420e-01,1.319779362529516220e-02
-7.939698492462310409e-01,1.352365687489509583e-02
-7.738693467336683618e-01,1.386275701224803925e-02
-7.537688442211054607e-01,1.421590521931648254e-02
-7.336683417085427816e-01,1.458399370312690735e-02
-7.135678391959798805e-01,1.496799010783433914e-02
-6.934673366834169794e-01,1.536895520985126495e-02
