x,y
-2.000000000000000000e+00,9.871271438896656036e-03
-1.979899497487437099e+00,1.002968754619359970e-02
-1.959798994974874420e+00,1.019185595214366913e-02
-1.939698492462311519e+00,1.035790704190731049e-02
-1.919597989949748840e+00,1.052796654403209686e-02
-1.899497487437185939e+00,1.070217974483966827e-02
-1.879396984924623037e+00,1.088068448007106781e-02
-1.859296482412060358e+00,1.106363441795110703e-02
-1.839195979899497457e+00,1.125118229538202286e-02
-1.819095477386934778e+00,1.144349202513694763e-02
-1.798994974874371877e+00,1.164073124527931213e-02
-1.778894472361808976e+00,1.184307783842086792e-02
-1.758793969849246297e+00,1.205071248114109039e-02
-1.738693467336683396e+00,1.226383261382579803e-02
-1.718592964824120717e+00,1.248263567686080933e-02
-1.698492462311557816e+00,1.270733214914798737e-02
-1.678391959798994915e+00,1.293814368546009064e-02
-1.658291457286432236e+00,1.317529566586017609e-02
-1.638190954773869334e+00,1.341903302818536758e-02
-1.618090452261306655e+00,1.366960816085338593e-02
-1.597989949748743754e+00,1.392728276550769806e-02
-1.577889447236180853e+00,1.419233530759811401e-02
-1.557788944723617952e+00,1.446505729109048843e-02
-1.537688442211055273e+00,1.474575325846672058e-02
-1.517587939698492594e+00,1.503474451601505280e-02
-1.497487437185929693e+00,1.533236913383007050e-02
-1.477386934673366792e+00,1.563897915184497833e-02
-1.457286432160803891e+00,1.595494896173477173e-02
-1.437185929648241212e+00,1.628067344427108765e-02
-1.417085427135678533e+00,1.661656424403190613e-02
-1.396984924623115631e+00,1.696305535733699799e-02
-1.376884422110552730e+00,1.732061058282852173e-02
-1.356783919597989829e+00,1.768971420824527740e-02
-1.336683417085427150e+00,1.807087846100330353e-02
-1.316582914572864471e+00,1.846464723348617554e-02
-1.296482412060301570e+00,1.887159049510955811e-02
-1.276381909547738669e+00,1.929231733083724976e-02
-1.256281407035175768e+00,1.972746849060058594e-02
-1.236180904522613089e+00,2.017772570252418518e-02
-1.216080402010050188e+00,2.064380981028079987e-02
-1.195979899497487509e+00,2.112648636102676392e-02
-1.175879396984924607e+00,2.162657305598258972e-02
-1.155778894472361706e+00,2.214492857456207275e-02
-1.135678391959799027e+00,2.268247678875923157e-02
-1.115577889447236126e+00,2.324020117521286011e-02
